time,station,direction,buses
24183,X19,0,"(6, 6)"
24183,X05,0,"(9, 11, 11)"
24184,X05,0,"(9, 11, 11)"
24184,X19,0,"(6, 6)"
24185,X05,0,"(9, 11, 11)"
24185,X19,0,"(6, 6)"
24186,X05,0,"(9, 11, 11)"
24186,X19,0,"(6, 6)"
24187,X05,0,"(9, 11, 11)"
24187,X19,0,"(6, 6)"
24188,X05,0,"(9, 11, 11)"
24189,X05,0,"(9, 11, 11)"
24190,X05,0,"(9, 11)"
24191,X05,0,"(9, 11)"
24192,X05,0,"(9, 11)"
24193,X05,0,"(9, 11)"
24194,X05,0,"(9, 11)"
24195,X05,0,"(9, 11)"
24196,X04,0,"(9, 9)"
24197,X04,0,"(9, 9)"
24198,X04,0,"(9, 9)"
24199,X04,0,"(9, 9)"
24199,X09,0,"(0, 0)"
24200,X09,0,"(0, 0)"
24200,X04,0,"(9, 9)"
24201,X09,0,"(0, 0)"
24201,X04,0,"(9, 9)"
24202,X05,1,"(3, 3)"
24202,X09,0,"(0, 0)"
24202,X04,0,"(9, 9)"
24203,X05,1,"(3, 3)"
24203,X09,0,"(0, 0)"
24203,X04,0,"(9, 9)"
24204,X04,0,"(9, 9)"
24204,X05,1,"(3, 3)"
24204,X09,0,"(0, 0)"
24205,X09,0,"(0, 0)"
24205,X04,0,"(9, 9)"
24205,X05,1,"(3, 3)"
24206,X09,0,"(0, 0)"
24206,X04,0,"(9, 9)"
24206,X05,1,"(3, 3)"
24207,X09,0,"(0, 0)"
24207,X04,0,"(9, 9)"
24207,X05,1,"(3, 3)"
24208,X09,0,"(0, 0)"
24208,X04,0,"(9, 9)"
24208,X05,1,"(3, 3)"
24209,X09,0,"(0, 0)"
24209,X04,0,"(9, 9)"
24209,X05,1,"(3, 3)"
24210,X04,0,"(9, 9)"
24210,X09,0,"(0, 0)"
24210,X01,0,"(7, 7)"
24210,X05,1,"(3, 3)"
24211,X09,0,"(0, 0)"
24211,X05,1,"(3, 3)"
24211,X01,0,"(7, 7)"
24211,X04,0,"(9, 9)"
24212,X05,1,"(3, 3)"
24212,X01,0,"(7, 7)"
24212,X04,0,"(9, 9)"
24212,X09,0,"(0, 0)"
24213,X05,1,"(3, 3)"
24213,X01,0,"(7, 7)"
24213,X04,0,"(9, 9)"
24214,X01,0,"(7, 7)"
24214,X04,0,"(9, 9)"
24214,X05,1,"(3, 3)"
24215,X04,0,"(9, 9)"
24215,X01,0,"(7, 7)"
24215,X05,1,"(3, 3)"
24216,X05,1,"(3, 3)"
24216,X01,0,"(7, 7)"
24217,X05,1,"(3, 3)"
24217,X01,0,"(7, 7)"
24218,X01,0,"(7, 7)"
24218,X05,1,"(3, 3)"
24219,X01,0,"(7, 7)"
24219,X05,1,"(3, 3)"
24220,X01,0,"(7, 7)"
24221,X01,0,"(7, 7)"
24222,X01,0,"(7, 7)"
24223,X01,0,"(7, 7)"
24224,X01,0,"(7, 7)"
24225,X01,0,"(7, 7)"
24225,X15,1,"(13, 13)"
24226,X01,0,"(7, 7)"
24226,X15,1,"(13, 13)"
24227,X15,1,"(13, 13)"
24227,X01,0,"(7, 7)"
24228,X15,1,"(13, 13)"
24228,X01,0,"(7, 7)"
24229,X15,1,"(13, 13)"
24229,X01,0,"(7, 7)"
24230,X15,1,"(13, 13)"
24230,X01,0,"(7, 7)"
24230,X14,0,"(4, 4)"
24230,X09,1,"(1, 1)"
24231,X01,0,"(7, 7)"
24231,X14,0,"(4, 4)"
24231,X19,1,"(10, 12)"
24231,X15,1,"(13, 13)"
24231,X09,1,"(1, 1)"
24232,X19,1,"(10, 12, 12)"
24232,X09,1,"(1, 1)"
24232,X01,0,"(7, 7)"
24232,X14,0,"(4, 4)"
24232,X15,1,"(13, 13)"
24233,X15,1,"(13, 13)"
24233,X14,0,"(4, 4)"
24233,X09,1,"(1, 1)"
24233,X19,1,"(10, 12, 12)"
24234,X14,0,"(4, 4)"
24234,X09,1,"(1, 1)"
24234,X15,1,"(13, 13)"
24234,X19,1,"(10, 12, 12)"
24235,X14,0,"(4, 4)"
24235,X09,1,"(1, 1)"
24235,X15,1,"(13, 13)"
24235,X19,1,"(10, 12, 12)"
24236,X19,1,"(10, 12, 12)"
24236,X14,0,"(4, 4)"
24236,X09,1,"(1, 1)"
24236,X15,1,"(13, 13)"
24237,X14,0,"(4, 4)"
24237,X15,1,"(13, 13)"
24237,X09,1,"(1, 1)"
24237,X19,1,"(10, 12, 12)"
24238,X15,1,"(13, 13)"
24238,X19,1,"(10, 12, 12)"
24238,X09,1,"(1, 1)"
24238,X14,0,"(4, 4)"
24239,X11,0,"(2, 2)"
24239,X19,1,"(10, 12, 12)"
24239,X14,0,"(4, 4)"
24239,X09,1,"(1, 1)"
24240,X11,0,"(2, 2)"
24240,X14,0,"(4, 4)"
24240,X09,1,"(1, 1)"
24240,X19,1,"(10, 12)"
24241,X14,0,"(4, 4)"
24241,X19,1,"(10, 12)"
24241,X09,1,"(1, 1)"
24241,X11,0,"(2, 2)"
24242,X19,1,"(10, 12)"
24242,X09,1,"(1, 1)"
24242,X11,0,"(2, 2)"
24243,X11,0,"(2, 2)"
24243,X09,1,"(1, 1)"
24243,X19,1,"(10, 12)"
24244,X11,0,"(2, 2)"
24244,X19,1,"(10, 12)"
24245,X19,1,"(10, 12)"
24245,X11,0,"(2, 2)"
24246,X19,1,"(10, 12)"
24246,X11,0,"(2, 2)"
24247,X11,0,"(2, 2)"
24247,X20,1,"(10, 10)"
24248,X11,0,"(2, 2)"
24248,X20,1,"(10, 10)"
24249,X11,0,"(2, 2)"
24249,X20,1,"(10, 10)"
24250,X11,0,"(2, 2)"
24250,X20,1,"(10, 10)"
24251,X20,1,"(10, 10)"
24251,X11,0,"(2, 2)"
24252,X20,1,"(10, 10)"
24252,X11,0,"(2, 2)"
24253,X11,0,"(2, 2)"
24253,X20,1,"(10, 10)"
24254,X11,0,"(2, 2)"
24254,X20,1,"(10, 10)"
24255,X11,0,"(2, 2)"
24255,X20,1,"(10, 10)"
24256,X11,0,"(2, 2)"
24256,X20,1,"(10, 10)"
24257,X11,0,"(2, 2)"
24257,X20,1,"(10, 10)"
24258,X20,1,"(10, 10)"
24258,X11,0,"(2, 2)"
24259,X11,0,"(2, 2)"
24260,X11,0,"(2, 2)"
24274,X03,0,"(9, 9)"
24275,X12,1,"(14, 14)"
24275,X03,0,"(9, 9)"
24276,X12,1,"(14, 14)"
24276,X03,0,"(9, 9)"
24277,X03,0,"(9, 9)"
24277,X12,1,"(14, 14)"
24278,X03,0,"(9, 9)"
24278,X12,1,"(14, 14)"
24279,X12,1,"(14, 14)"
24279,X03,0,"(9, 9)"
24280,X12,1,"(14, 14)"
24280,X03,0,"(9, 9)"
24281,X12,1,"(14, 14)"
24281,X03,0,"(9, 9)"
24282,X03,0,"(9, 9)"
24282,X12,1,"(14, 14)"
24283,X03,0,"(9, 9)"
24283,X12,1,"(14, 14)"
24284,X12,1,"(14, 14)"
24284,X03,0,"(9, 9)"
24285,X12,1,"(14, 14)"
24285,X03,0,"(9, 9)"
24286,X03,0,"(9, 9)"
24286,X08,0,"(0, 0)"
24286,X12,1,"(14, 14)"
24287,X03,0,"(9, 9)"
24287,X08,0,"(0, 0)"
24287,X12,1,"(14, 14)"
24288,X01,1,"(5, 5)"
24288,X08,0,"(0, 0)"
24288,X03,0,"(9, 9)"
24288,X12,1,"(14, 14)"
24289,X01,1,"(5, 5)"
24289,X08,0,"(0, 0)"
24289,X18,0,"(6, 6)"
24290,X01,1,"(5, 5)"
24290,X08,0,"(0, 0)"
24290,X18,0,"(6, 6)"
24291,X08,0,"(0, 0)"
24291,X01,1,"(5, 5)"
24291,X18,0,"(6, 6)"
24292,X18,0,"(6, 6)"
24292,X01,1,"(5, 5)"
24292,X08,0,"(0, 0)"
24293,X01,1,"(5, 5)"
24293,X08,0,"(0, 0)"
24293,X18,0,"(6, 6)"
24294,X18,0,"(6, 6)"
24294,X08,0,"(0, 0)"
24294,X01,1,"(5, 5)"
24295,X01,1,"(5, 5)"
24295,X18,0,"(6, 6)"
24295,X08,0,"(0, 0)"
24296,X08,0,"(0, 0)"
24296,X01,1,"(5, 5)"
24296,X18,0,"(6, 6)"
24297,X08,0,"(0, 0)"
24297,X01,1,"(5, 5)"
24297,X18,0,"(6, 6)"
24298,X08,0,"(0, 0)"
24298,X18,0,"(6, 6)"
24298,X01,1,"(5, 5)"
24299,X01,1,"(5, 5)"
24299,X08,0,"(0, 0)"
24299,X18,0,"(6, 6)"
24300,X01,1,"(5, 5)"
24300,X18,0,"(6, 6)"
24300,X13,0,"(4, 4)"
24300,X08,0,"(0, 0)"
24301,X01,1,"(5, 5)"
24301,X13,0,"(4, 4)"
