time,station,direction,buses
5522,X07,0,"(10, 10)"
5522,X18,0,"(13, 13)"
5522,X15,0,"(1, 1)"
5523,X15,0,"(1, 1)"
5523,X18,0,"(13, 13)"
5523,X07,0,"(10, 10)"
5524,X15,0,"(1, 1)"
5524,X18,0,"(13, 13)"
5524,X07,0,"(10, 10)"
5525,X18,0,"(13, 13)"
5525,X15,0,"(1, 1)"
5525,X07,0,"(10, 10)"
5526,X15,0,"(1, 1)"
5526,X07,0,"(10, 10)"
5526,X18,0,"(13, 13)"
5527,X07,0,"(10, 10)"
5527,X18,0,"(13, 13)"
5527,X15,0,"(1, 1)"
5528,X19,1,"(7, 7)"
5528,X07,0,"(10, 10)"
5528,X18,0,"(13, 13)"
5529,X07,0,"(10, 10)"
5529,X18,0,"(13, 13)"
5529,X19,1,"(7, 7)"
5530,X18,0,"(13, 13)"
5530,X07,0,"(10, 10)"
5530,X19,1,"(7, 7)"
5531,X19,1,"(7, 7)"
5531,X18,0,"(13, 13)"
5531,X07,0,"(10, 10)"
5532,X07,0,"(10, 10)"
5532,X18,0,"(13, 13)"
5532,X19,1,"(7, 7)"
5533,X19,1,"(7, 7)"
5533,X07,0,"(10, 10)"
5533,X18,0,"(13, 13)"
5534,X19,1,"(7, 7)"
5534,X18,0,"(13, 13)"
5535,X19,1,"(7, 7)"
5535,X18,0,"(13, 13)"
5536,X19,1,"(7, 7)"
5536,X18,0,"(13, 13)"
5537,X19,1,"(7, 7)"
5537,X18,0,"(13, 13)"
5538,X19,1,"(7, 7)"
5538,X18,0,"(13, 13)"
5539,X18,0,"(13, 13)"
5539,X19,1,"(7, 7)"
5540,X18,0,"(13, 13)"
5541,X18,0,"(13, 13)"
5542,X11,0,"(12, 12)"
5543,X11,0,"(12, 12)"
5544,X11,0,"(12, 12)"
5545,X11,0,"(12, 12)"
5546,X11,0,"(12, 12)"
5547,X11,0,"(12, 12)"
5548,X11,0,"(12, 12)"
5549,X11,0,"(12, 12)"
5550,X11,0,"(12, 12)"
5551,X11,0,"(12, 12)"
5573,X02,1,"(0, 0)"
5574,X06,1,"(2, 2)"
5574,X02,1,"(0, 0)"
5575,X06,1,"(2, 2)"
5575,X02,1,"(0, 0)"
5576,X06,1,"(2, 2)"
5576,X02,1,"(0, 0)"
5577,X06,1,"(2, 2)"
5577,X02,1,"(0, 0)"
5578,X02,1,"(0, 0)"
5578,X06,1,"(2, 2)"
5579,X02,1,"(0, 0)"
5579,X06,1,"(2, 2)"
5580,X06,1,"(2, 2)"
5580,X02,1,"(0, 0)"
5581,X02,1,"(0, 0)"
5581,X06,1,"(2, 2)"
5582,X02,1,"(0, 0)"
5582,X06,1,"(2, 2)"
5583,X02,1,"(0, 0)"
5583,X06,1,"(2, 2)"
5584,X06,1,"(2, 2)"
5584,X02,1,"(0, 0)"
5585,X02,1,"(0, 0)"
5585,X06,1,"(2, 2)"
5586,X02,1,"(0, 0)"
5587,X02,1,"(0, 0)"
5588,X02,1,"(0, 0)"
5589,X02,1,"(0, 0)"
5590,X02,1,"(0, 0)"
5591,X02,1,"(0, 0)"
5592,X14,0,"(1, 1)"
5592,X02,1,"(0, 0)"
5593,X14,0,"(1, 1)"
5593,X02,1,"(0, 0)"
5593,X10,1,"(11, 11)"
5594,X14,0,"(1, 1)"
5594,X02,1,"(0, 0)"
5594,X10,1,"(11, 11)"
5594,X17,0,"(13, 13)"
5595,X14,0,"(1, 1)"
5595,X10,1,"(11, 11)"
5595,X17,0,"(13, 13)"
5596,X17,0,"(13, 13)"
5596,X14,0,"(1, 1)"
5596,X10,1,"(11, 11)"
5597,X14,0,"(1, 1)"
5597,X10,1,"(11, 11)"
5597,X17,0,"(13, 13)"
5598,X17,0,"(13, 13)"
5598,X14,0,"(1, 1)"
5598,X10,1,"(11, 11)"
5599,X17,0,"(13, 13)"
5599,X14,0,"(1, 1)"
5599,X10,1,"(11, 11)"
5600,X14,0,"(1, 1)"
5600,X10,1,"(11, 11)"
5600,X17,0,"(13, 13)"
5601,X17,0,"(13, 13)"
5601,X14,0,"(1, 1)"
5601,X10,1,"(11, 11)"
5602,X17,0,"(13, 13)"
5602,X14,0,"(1, 1)"
5602,X10,1,"(11, 11)"
5603,X17,0,"(13, 13)"
5603,X10,1,"(11, 11)"
5603,X14,0,"(1, 1)"
5604,X14,0,"(1, 1)"
5604,X20,1,"(7, 7)"
5604,X10,1,"(11, 11)"
5604,X17,0,"(13, 13)"
5605,X20,1,"(7, 7)"
5605,X10,1,"(11, 11)"
5605,X14,0,"(1, 1)"
5605,X17,0,"(13, 13)"
5606,X17,0,"(13, 13)"
5606,X20,1,"(7, 7)"
5606,X10,1,"(11, 11)"
5607,X20,1,"(7, 7)"
5607,X17,0,"(13, 13)"
5607,X10,1,"(11, 11)"
5607,X06,0,"(10, 10)"
5608,X10,1,"(11, 11)"
5608,X06,0,"(10, 10)"
5608,X20,1,"(7, 7)"
5608,X17,0,"(13, 13)"
5609,X06,0,"(10, 10)"
5609,X10,1,"(11, 11)"
5609,X20,1,"(7, 7)"
5609,X17,0,"(13, 13)"
5610,X10,1,"(11, 11)"
5610,X17,0,"(13, 13)"
5610,X20,1,"(7, 7)"
5610,X06,0,"(10, 10)"
5611,X06,0,"(10, 10)"
5611,X20,1,"(7, 7)"
5611,X17,0,"(13, 13)"
5611,X10,1,"(11, 11)"
5612,X06,0,"(10, 10)"
5612,X17,0,"(13, 13)"
5612,X20,1,"(7, 7)"
5612,X10,1,"(11, 11)"
5613,X20,1,"(7, 7)"
5613,X06,0,"(10, 10)"
5613,X17,0,"(13, 13)"
5613,X10,1,"(11, 11)"
5614,X06,0,"(10, 10)"
5614,X10,1,"(11, 11)"
5614,X17,0,"(13, 13)"
5614,X20,1,"(7, 7)"
5615,X06,0,"(10, 10)"
5615,X17,0,"(13, 13)"
5615,X10,1,"(11, 11)"
5615,X20,1,"(7, 7)"
5616,X10,1,"(11, 11)"
5616,X06,0,"(10, 10)"
5616,X20,1,"(7, 7)"
5616,X17,0,"(13, 13)"
5617,X17,0,"(13, 13)"
5617,X20,1,"(7, 7)"
5617,X06,0,"(10, 10)"
5618,X06,0,"(10, 10)"
5618,X17,0,"(13, 13)"
5619,X17,0,"(13, 13)"
5620,X17,0,"(13, 13)"
5621,X17,0,"(13, 13)"
5622,X17,0,"(13, 13)"
5623,X17,0,"(13, 13)"
5625,X10,0,"(12, 12)"
5626,X10,0,"(12, 12)"
5627,X10,0,"(12, 12)"
5628,X10,0,"(12, 12)"
5629,X10,0,"(12, 12)"
5630,X10,0,"(12, 12)"
5631,X10,0,"(12, 12)"
5632,X10,0,"(12, 12)"
5633,X10,0,"(12, 12)"
5634,X10,0,"(12, 12)"
5635,X10,0,"(12, 12)"
5636,X10,0,"(12, 12)"
5637,X10,0,"(12, 12)"
5638,X10,0,"(12, 12)"
5650,X07,1,"(2, 2)"
5651,X07,1,"(2, 2)"
5652,X07,1,"(2, 2)"
5653,X03,1,"(0, 0)"
5653,X07,1,"(2, 2)"
5654,X03,1,"(0, 0)"
5654,X07,1,"(2, 2)"
5655,X03,1,"(0, 0)"
5655,X07,1,"(2, 2)"
5656,X03,1,"(0, 0)"
5656,X07,1,"(2, 2)"
5657,X03,1,"(0, 0)"
5657,X07,1,"(2, 2)"
5658,X13,0,"(1, 1)"
5658,X07,1,"(2, 2)"
5658,X03,1,"(0, 0)"
5659,X07,1,"(2, 2)"
5659,X13,0,"(1, 1)"
5659,X03,1,"(0, 0)"
5659,X04,0,"(8, 8)"
5660,X03,1,"(0, 0)"
5660,X07,1,"(2, 2)"
5660,X13,0,"(1, 1)"
5660,X04,0,"(8, 8)"
5661,X13,0,"(1, 1)"
5661,X07,1,"(2, 2)"
5661,X04,0,"(8, 8)"
5661,X03,1,"(0, 0)"
5662,X03,1,"(0, 0)"
5662,X04,0,"(8, 8)"
5662,X13,0,"(1, 1)"
5663,X04,0,"(8, 8)"
5663,X13,0,"(1, 1)"
5664,X13,0,"(1, 1)"
5664,X04,0,"(8, 8)"
5665,X04,0,"(8, 8)"
5665,X13,0,"(1, 1)"
5665,X20,0,"(3, 3)"
5666,X04,0,"(8, 8)"
5666,X20,0,"(3, 3)"
5666,X13,0,"(1, 1)"
5667,X13,0,"(1, 1)"
5667,X20,0,"(3, 3)"
5667,X04,0,"(8, 8)"
5668,X20,0,"(3, 3)"
5668,X04,0,"(8, 8)"
5669,X20,0,"(3, 3)"
5669,X11,1,"(11, 11)"
5669,X04,0,"(8, 8)"
5670,X20,0,"(3, 3)"
5670,X04,0,"(8, 8)"
5670,X11,1,"(11, 11)"
5671,X11,1,"(11, 11)"
5671,X04,0,"(8, 8)"
5671,X20,0,"(3, 3)"
5672,X20,0,"(3, 3)"
5672,X04,0,"(8, 8)"
5672,X11,1,"(11, 11)"
5673,X11,1,"(11, 11)"
5673,X20,0,"(3, 3)"
5673,X04,0,"(8, 8)"
5674,X11,1,"(11, 11)"
5674,X04,0,"(8, 8)"
5674,X20,0,"(3, 3)"
5675,X20,0,"(3, 3)"
5675,X04,0,"(8, 8)"
5675,X11,1,"(11, 11)"
5676,X11,1,"(11, 11)"
5676,X20,0,"(3, 3)"
5676,X16,0,"(13, 13)"
5677,X20,0,"(3, 3)"
5677,X16,0,"(13, 13)"
5677,X11,1,"(11, 11)"
5678,X20,0,"(3, 3)"
5678,X16,0,"(13, 13)"
5678,X11,1,"(11, 11)"
5679,X20,0,"(3, 3)"
5679,X11,1,"(11, 11)"
5679,X16,0,"(13, 13)"
5680,X11,1,"(11, 11)"
5680,X20,0,"(3, 3)"
5680,X16,0,"(13, 13)"
5681,X20,0,"(3, 3)"
5681,X16,0,"(13, 13)"
5682,X20,0,"(3, 3)"
5682,X16,0,"(13, 13)"
5683,X20,0,"(3, 3)"
5683,X16,0,"(13, 13)"
5684,X20,0,"(3, 3)"
5684,X16,0,"(13, 13)"
5685,X16,0,"(13, 13)"
5685,X20,0,"(3, 3)"
5686,X16,0,"(13, 13)"
5686,X20,0,"(3, 3)"
5687,X16,0,"(13, 13)"
5687,X20,0,"(3, 3)"
5688,X20,0,"(3, 3)"
5688,X16,0,"(13, 13)"
5689,X16,0,"(13, 13)"
5689,X20,0,"(3, 3)"
5690,X16,0,"(13, 13)"
5690,X20,0,"(3, 3)"
5691,X20,0,"(3, 3)"
5691,X16,0,"(13, 13)"
5692,X16,0,"(13, 13)"
5692,X20,0,"(3, 3)"
5693,X20,0,"(3, 3)"
5693,X16,0,"(13, 13)"
5694,X16,0,"(13, 13)"
5694,X20,0,"(3, 3)"
5695,X16,0,"(13, 13)"
5696,X16,0,"(13, 13)"
5697,X16,0,"(13, 13)"
5698,X16,0,"(13, 13)"
5699,X16,0,"(13, 13)"
5700,X16,0,"(13, 13)"
5701,X16,0,"(13, 13)"
5702,X16,0,"(13, 13)"
5703,X16,0,"(13, 13)"
5717,X05,0,"(10, 10)"
5718,X05,0,"(10, 10)"
5718,X09,0,"(12, 12)"
5719,X05,0,"(10, 10)"
5719,X09,0,"(12, 12)"
5720,X05,0,"(10, 10)"
5720,X09,0,"(12, 12)"
5721,X09,0,"(12, 12)"
5721,X05,0,"(10, 10)"
5722,X05,0,"(10, 10)"
5722,X09,0,"(12, 12)"
5722,X13,1,"(9, 9)"
5723,X09,0,"(12, 12)"
5723,X13,1,"(9, 9)"
5723,X05,0,"(10, 10)"
5724,X13,1,"(9, 9)"
5724,X05,0,"(10, 10)"
5724,X09,0,"(12, 12)"
5725,X13,1,"(9, 9)"
5725,X05,0,"(10, 10)"
5725,X09,0,"(12, 12)"
5726,X13,1,"(9, 9)"
5726,X09,0,"(12, 12)"
5726,X05,0,"(10, 10)"
5727,X05,0,"(10, 10)"
5727,X13,1,"(9, 9)"
5727,X09,0,"(12, 12)"
5728,X05,0,"(10, 10)"
5728,X13,1,"(9, 9)"
5728,X09,0,"(12, 12)"
5729,X05,0,"(10, 10)"
5729,X13,1,"(9, 9)"
5729,X09,0,"(12, 12)"
5730,X05,0,"(10, 10)"
5730,X03,0,"(8, 8)"
5730,X13,1,"(9, 9)"
5730,X09,0,"(12, 12)"
5731,X13,1,"(9, 9)"
5731,X05,0,"(10, 10)"
5731,X03,0,"(8, 8)"
5731,X09,0,"(12, 12)"
5732,X13,1,"(9, 9)"
5732,X03,0,"(8, 8)"
5733,X13,1,"(9, 9)"
5733,X03,0,"(8, 8)"
5734,X03,0,"(8, 8)"
5734,X13,1,"(9, 9)"
5735,X03,0,"(8, 8)"
5735,X13,1,"(9, 9)"
5736,X03,0,"(8, 8)"
