traveling_time,waiting_time,headway
1334,102,-8.0099999999984
508,82,100.0
726,62,156.0
726,42,254.0
588,22,302.0
216,2,318.0
1523,257,337.0
1658,197,423.0
1306,137,393.0
68,117,416.0
68,117,418.0
908,117,434.0
1801,97,421.0
1086,387,407.0
709,307,397.0
783,307,255.0
1635,307,255.11251132413517
432,127,278.7157314328598
709,67,-48.0099999999984
1635,67,-99.0099999999984
1086,27,-95.0099999999984
432,7,-33.0
1086,7,38.0
1448,394,129.0
1562,354,190.0
579,334,152.0
987,294,104.0
287,274,173.0
363,214,173.0
662,214,182.0
1323,214,180.0
1388,174,200.0
1388,114,160.0
1323,94,172.0
92,54,155.0
1260,54,166.0
1323,54,-10.0
579,34,-63.0
730,34,153.9900000000016
987,34,118.9900000000016
1206,313,68.9900000000016
1341,213,122.0
739,153,124.0
1341,93,119.0
1436,93,187.0
181,53,185.0
1436,53,187.0
581,13,111.0
635,285,109.0
635,225,100.0
1305,225,48.0
1387,225,23.0
635,145,152.0
635,125,166.0
571,25,303.0
167,226,306.00000000000364
1075,146,318.00000000000364
331,126,334.0
1075,106,-20.010000000002037
934,86,-22.010000000002037
1019,86,-42.01000000000204
1019,66,-33.01000000000204
1344,46,-12.0
299,350,10.0
1139,330,-25.0
627,310,-17.0
1490,290,2.0
1139,230,26.0
205,210,14.0
1342,130,-5.0
627,110,-1.0
932,70,26.0
183,261,3.0
561,121,34.0
183,101,28.0
1029,41,33.0
286,1,47.0
90,338,51.0
1267,298,-10.010000000002037
90,218,-14.010000000002037
1347,218,-16.010000000002037
90,198,-33.01000000000204
296,198,-76.01000000000204
1413,198,-84.01000000000204
90,138,-150.0
1193,118,-148.0
592,58,-186.0
438,221,-157.0
622,221,-212.0
66,181,-253.0
66,161,-261.0
333,239,-281.0
1091,305,-282.0
437,125,-279.0
1160,105,-297.0
582,25,-280.0
1160,5,-313.0
460,347,-325.0
1332,267,7.989999999997963
891,247,50.98999999999796
332,227,44.98999999999796
891,207,42.98999999999796
1016,167,11.0
485,257,57.0
1082,157,3.0
1002,137,28.0
1338,117,33.0
255,57,-26.0
76,280,-52.0
1240,280,-144.0
76,220,-138.0
666,220,-137.0
1240,160,-147.0
1779,100,-144.0
920,259,-215.0
1252,219,-341.0
366,199,-461.0
1113,179,-473.0
764,159,12.989999999997963
366,59,35.98999999999796
704,404,54.98999999999796
1299,404,49.0
88,384,43.0
410,364,-33.0
1229,264,-13.0
819,244,20.0
215,124,-20.0
1675,64,-14.0
1435,4,55.0
1609,221,53.0
1030,101,51.0
1520,61,38.0
783,41,7.0
76,146,-78.0
679,126,-74.0
317,6,-84.0
477,179,-125.0
807,99,-124.0
411,79,-8.010000000002037
885,39,-10.010000000002037
1498,39,17.989999999997963
1672,170,17.989999999997963
331,150,-3.0
850,263,-3.0
586,243,-43.0
780,183,-72.0
586,163,120.0
651,440,65.0
1573,400,65.0
219,340,214.0
1427,320,255.0
1427,300,287.0
891,260,275.0
1729,260,276.0
955,160,220.0
1068,60,243.0
509,40,207.0
1148,20,234.0
329,223,-32.00999999999999
1291,203,-29.00999999999999
1904,96,-116.00999999999999
2095,96,-80.00999999999999
2095,56,-69.0
1712,372,-96.0
1599,272,-150.0
1326,252,-38.0
1929,212,-29.0
875,92,-54.0
1861,92,-27.0
2025,92,120.0
224,12,106.0
556,12,130.0
1231,453,217.0
1962,433,212.0
521,373,333.0000000000002
457,293,228.0
521,273,240.0
226,253,166.0
1814,253,-19.01000000000022
1885,113,-10.010000000000218
1061,73,-2.0100000000002183
1231,53,5.989999999999782
218,248,-12.010000000000218
679,248,6.0
820,188,-5.0
1620,188,-15.0
739,168,-21.0
1247,330,-3.0
483,290,-51.0
76,210,-56.0
1247,210,-53.0
963,170,16.0
1175,150,32.0
895,50,19.0
1815,50,48.0
542,10,103.0
68,306,102.0
1080,286,63.0
983,246,71.98999999999978
258,166,110.98999999999978
983,126,136.98999999999978
1931,126,142.98999999999978
889,106,121.0
173,86,306.0
1998,46,309.0
1065,332,480.0
1753,332,477.0
80,152,457.0
1509,92,449.0
188,72,438.0
1120,362,457.0
665,202,447.0
1378,122,390.0
1921,122,298.0
665,62,280.0
1679,2,307.0
961,342,307.0
706,282,223.0
444,102,-9.010000000000218
1241,102,19.98999999999978
961,42,-19.01000000000022
1082,2,-47.01000000000022
1035,275,-37.01000000000022
72,255,-52.0
218,215,-13.0
826,215,-9.0
1035,175,-16.0
826,35,-63.0
1132,35,-63.0
388,386,-52.0
388,346,-123.0
1994,346,-94.0
694,326,-92.0
1552,186,-126.0
694,106,-180.0
1287,322,-208.0
1375,282,-206.0
974,182,-409.0
472,142,39.98999999999978
1287,62,61.98999999999978
1116,2,55.98999999999978
1497,269,47.98999999999978
1233,189,77.0
547,428,69.0
407,408,57.0
407,408,2.0
889,408,-7.0
1714,108,-17.0
824,98,47.0
1526,38,40.0
1061,309,-35.0
1061,249,-30.0
1315,249,-109.0
187,69,-111.0
1651,9,-128.0
1926,277,-113.0
1587,257,-129.0
1145,237,-112.0
373,217,-18.01000000000022
1926,77,-47.01000000000022
1324,17,-41.01000000000022
648,356,-37.01000000000022
1039,336,-47.01000000000022
1111,336,-60.0
496,96,-69.0
828,211,-90.0
1051,211,-88.0
985,71,-168.0
1658,71,-127.0
444,184,-137.0
844,138,-284.0
1104,138,-278.0
844,18,-326.0
587,364,-312.0
143,204,-342.0
1345,184,-304.0
1413,184,-315.0
789,164,-372.0
312,124,-16.01000000000022
1010,84,-12.010000000000218
1097,44,-22.01000000000022
1344,357,-24.01000000000022
833,337,-12.0
1249,317,-25.0
1510,277,-49.0
998,257,-62.0
1687,237,-60.0
1413,217,-66.0
555,117,-73.0
889,117,-67.0
1687,77,-43.0
304,37,-56.0
1249,17,-150.0
1162,362,-157.0
1232,322,-171.0
973,222,-176.99999999999818
1480,202,-144.99999999999818
631,142,-144.99999999999818
1232,62,-55.0099999999984
837,295,-61.0099999999984
691,215,-63.0099999999984
1058,215,-61.0099999999984
1627,195,-73.0099999999984
1753,175,-65.0099999999984
1426,135,-145.0
632,115,-155.0
373,95,-190.0
373,75,-237.0
912,15,-239.0
912,15,-218.0
1211,15,-233.0
242,520,-260.0
836,500,-259.0
493,460,-172.0
836,440,-279.0
836,320,-300.0
1058,280,-386.0
576,240,-424.0
337,140,27.9900000000016
636,140,35.9900000000016
836,140,132.9900000000016
1230,140,189.0
906,120,175.0
1230,120,244.0
1058,100,257.0
1310,20,207.0
292,62,183.0
957,62,139.0
1367,22,178.0
819,435,172.0
1050,375,166.0
248,335,114.0
819,295,187.0
498,275,222.0
248,95,259.0
264,250,252.0
1099,250,345.0
690,90,342.0
264,70,-34.0099999999984
1323,50,-44.0099999999984
1182,282,-56.0099999999984
394,202,-136.0099999999984
1774,202,-125.0099999999984
1081,142,-14.0
663,102,-18.0
1081,42,-140.0
1251,22,-147.0
1505,258,-54.0
1617,238,-61.0
1369,158,-72.0
826,293,-83.0
366,53,34.0
296,33,71.0
296,13,151.0
823,284,148.0
984,244,227.0
1083,164,291.0
1635,295,258.0
932,35,129.9900000000016
1434,295,94.9900000000016
2076,300,297.0
1712,240,287.0
467,20,207.0
1143,272,206.0
1348,252,210.0
95,192,285.0
284,172,204.0
1619,152,203.0
1526,52,233.0
1715,52,154.0
1713,226,148.0
817,206,-29.0
575,146,-82.0
356,26,-46.0
356,6,-148.0
85,201,-185.0
801,121,-175.0
869,61,-174.0
419,204,-44.0099999999984
1086,184,-102.0099999999984
1086,164,-102.0099999999984
1205,44,-134.0099999999984
121,24,-138.0099999999984
419,24,-233.0
1029,4,-252.0
1036,296,-255.0
771,116,-272.0
557,36,-204.0
1167,246,-206.0
1519,246,-255.0
344,226,-281.0
529,206,-286.0
1698,146,-183.0
1167,46,-180.0
1065,236,-182.0
136,196,-267.0
1008,176,-291.0
1443,136,-299.0
727,254,-6.009999999998399
885,194,-47.0099999999984
760,374,-65.0099999999984
429,334,-86.0099999999984
274,254,-92.0099999999984
74,154,-114.0
648,134,-47.0
382,254,-210.0
227,114,-207.0
910,54,-285.0
721,14,-295.0
58,317,-383.0
549,297,-366.0
309,77,-367.0
473,77,-442.0
1096,150,-302.0
589,130,-284.0
384,110,-279.0
66,90,-347.0
364,202,-348.0
282,182,16.989999999997963
546,162,28.989999999997963
1523,162,58.98999999999796
546,62,107.0
1376,62,147.0
449,42,147.0
331,208,139.0
820,208,175.0
74,188,254.0
331,48,220.0
450,28,157.0
403,345,379.0
578,205,420.0
253,45,355.0
1340,212,444.0
559,152,455.0
771,92,468.0
771,72,404.0
825,310,406.0
589,290,411.0
172,270,-25.010000000002037
1373,250,-50.01000000000204
1787,230,-30.010000000002037
1136,170,-14.010000000002037
1712,70,-89.0
223,354,-132.0
757,334,-73.0
1265,314,-77.0
1120,294,-81.0
