run,bus_id,station,time,duration,direction
1,8,X06,12895,59,1
1,3,X07,12941,52,0
1,9,X16,13029,45,0
1,8,X07,13041,58,1
1,0,X19,13050,59,1
1,3,X06,13106,54,0
1,8,X08,13173,46,1
1,0,X20,13256,59,1
1,7,X11,13264,57,0
1,13,X20,13299,41,0
1,7,X10,13418,43,0
1,4,X16,13431,56,1
1,6,X14,13445,54,1
1,14,X01,13462,59,1
1,10,X08,13520,50,1
1,7,X09,13534,54,0
1,14,X02,13591,59,1
1,10,X09,13648,48,1
1,9,X10,13696,57,0
1,0,X19,13755,51,0
1,6,X16,13759,54,1
1,12,X08,13814,48,1
1,4,X19,13816,54,1
1,9,X09,13825,59,0
1,5,X02,13895,56,0
1,1,X02,13910,50,1
1,9,X08,13946,58,0
1,12,X09,13947,53,1
1,4,X20,13983,58,1
1,2,X20,14014,41,0
1,1,X03,14024,58,1
1,9,X07,14070,56,0
1,7,X03,14073,57,0
1,8,X16,14081,47,1
1,12,X10,14115,48,1
1,1,X04,14154,56,1
1,11,X09,14187,41,0
1,11,X08,14308,41,0
1,6,X20,14310,48,1
1,4,X20,14329,55,0
1,0,X14,14382,57,0
1,14,X10,14385,58,1
1,8,X18,14428,59,1
1,3,X04,14471,58,1
1,5,X01,14472,59,1
1,11,X07,14472,49,0
1,12,X13,14472,44,1
1,14,X11,14494,59,1
1,9,X02,14539,58,0
1,8,X19,14546,59,1
1,12,X14,14583,59,1
1,5,X02,14593,57,1
1,3,X05,14603,58,1
1,0,X12,14611,59,0
1,14,X12,14636,59,1
1,9,X01,14676,58,0
1,2,X14,14699,42,0
1,3,X06,14723,58,1
1,12,X15,14724,59,1
1,14,X13,14785,59,1
1,0,X11,14786,59,0
1,6,X19,14796,56,0
1,10,X19,14807,57,1
1,2,X13,14834,58,0
1,12,X16,14850,59,1
1,3,X07,14862,57,1
1,14,X14,14920,56,1
1,0,X10,14942,55,0
1,5,X05,14945,56,1
1,7,X02,14949,47,1
1,10,X20,14969,58,1
1,6,X18,14971,41,0
1,14,X15,15060,54,1
1,5,X06,15067,42,1
1,1,X13,15112,58,1
1,14,X16,15181,52,1
1,6,X16,15182,42,0
1,2,X10,15199,59,0
1,5,X07,15206,43,1
1,9,X01,15209,52,1
1,1,X14,15235,57,1
1,4,X12,15274,42,0
1,12,X20,15290,56,1
1,14,X17,15290,56,1
1,8,X18,15297,46,0
1,2,X09,15323,57,0
1,1,X15,15361,59,1
1,9,X03,15428,56,1
1,8,X17,15433,43,0
1,1,X16,15486,58,1
1,10,X19,15508,41,0
1,11,X01,15540,54,1
1,3,X14,15566,44,1
1,1,X17,15613,53,1
1,7,X08,15652,56,1
1,2,X07,15654,42,0
1,9,X05,15666,53,1
1,11,X02,15671,54,1
1,3,X15,15676,59,1
1,1,X18,15738,54,1
1,7,X09,15784,41,1
1,3,X16,15801,59,1
1,4,X08,15827,47,0
1,1,X19,15851,42,1
1,6,X11,15895,46,0
1,11,X04,15909,54,1
1,3,X17,15922,59,1
1,7,X10,15943,56,1
1,12,X18,15982,51,0
1,1,X20,16005,58,1
1,13,X02,16026,43,1
1,11,X05,16029,43,1
1,3,X18,16057,59,1
1,4,X06,16125,59,0
1,8,X11,16127,59,0
1,9,X09,16129,41,1
1,11,X06,16130,52,1
1,5,X16,16165,52,1
1,3,X19,16171,57,1
1,10,X13,16191,54,0
1,12,X16,16235,44,0
1,8,X10,16252,58,0
1,7,X13,16278,44,1
1,0,X01,16280,51,1
1,9,X10,16287,44,1
1,4,X05,16295,59,0
1,11,X07,16307,55,1
1,8,X09,16374,58,0
1,5,X18,16393,56,1
1,5,X19,16503,56,1
1,0,X03,16524,54,1
1,6,X05,16562,55,0
1,10,X10,16565,55,0
1,13,X07,16584,59,1
1,7,X17,16621,55,1
1,5,X20,16656,59,1
1,10,X09,16688,52,0
1,13,X08,16719,59,1
1,6,X04,16728,55,0
1,7,X18,16747,57,1
1,2,X02,16760,42,1
1,10,X08,16825,59,0
1,6,X03,16846,53,0
1,13,X09,16850,58,1
1,7,X19,16867,52,1
1,11,X12,16869,57,1
1,14,X13,16904,59,0
1,13,X10,16982,58,1
1,6,X02,16985,55,0
1,8,X04,16994,59,0
1,7,X20,17001,58,1
1,11,X13,17013,57,1
1,14,X12,17039,58,0
1,0,X08,17061,52,1
1,9,X18,17070,54,1
1,8,X03,17115,58,0
1,0,X09,17189,42,1
1,9,X19,17200,56,1
1,13,X12,17202,45,1
1,4,X03,17244,49,1
1,8,X02,17284,56,0
1,13,X13,17323,56,1
1,5,X19,17326,41,0
1,9,X20,17335,57,1
1,4,X04,17363,47,1
1,6,X01,17365,58,1
1,8,X01,17407,57,0
1,10,X03,17422,46,0
1,12,X06,17428,59,0
1,13,X14,17437,59,1
1,6,X02,17481,58,1
1,4,X05,17482,47,1
1,2,X09,17529,45,1
1,11,X19,17535,50,1
1,12,X05,17555,57,0
1,10,X02,17556,55,0
1,13,X15,17573,54,1
1,4,X06,17587,43,1
1,3,X13,17598,50,0
1,6,X03,17613,46,1
1,11,X20,17667,57,1
1,10,X01,17679,56,0
1,2,X10,17684,58,1
1,13,X16,17696,54,1
1,8,X01,17720,55,1
1,4,X07,17721,48,1
1,1,X10,17754,57,0
1,12,X04,17755,51,0
1,7,X18,17795,48,0
1,8,X02,17843,49,1
1,0,X15,17886,58,1
1,3,X11,17893,59,0
1,9,X20,17900,53,0
1,2,X12,17943,59,1
1,12,X02,17968,50,0
1,8,X03,17980,44,1
1,3,X10,18015,59,0
1,7,X15,18081,50,0
1,1,X06,18163,58,0
1,1,X05,18300,56,0
1,10,X04,18416,54,1
1,2,X17,18486,56,1
1,5,X09,18491,50,0
1,1,X03,18546,58,0
1,5,X08,18624,49,0
1,9,X13,18659,59,0
1,2,X18,18677,59,1
1,1,X02,18719,53,0
1,10,X07,18726,57,1
1,9,X12,18798,57,0
1,2,X19,18833,59,1
1,5,X06,18864,59,0
1,13,X18,18879,59,0
1,14,X02,18964,50,1
1,3,X02,18969,49,0
1,2,X20,19005,55,1
1,5,X05,19009,59,0
1,10,X09,19030,58,1
1,3,X01,19089,57,0
1,10,X10,19175,48,1
1,4,X20,19245,48,1
1,11,X11,19307,59,0
1,7,X05,19317,42,0
1,6,X18,19378,49,1
1,7,X04,19425,53,0
1,11,X10,19431,51,0
1,0,X16,19460,54,0
1,12,X10,19478,49,1
1,12,X11,19591,48,1
1,11,X09,19629,54,0
1,7,X02,19693,57,0
1,9,X03,19857,58,0
1,13,X09,19872,59,0
1,10,X18,19982,55,1
1,9,X02,20001,57,0
1,13,X08,20005,59,0
1,2,X14,20006,55,0
1,9,X01,20113,58,0
1,13,X07,20138,59,0
1,11,X02,20293,46,0
1,13,X06,20296,44,0
1,11,X01,20403,55,0
1,8,X20,20414,52,0
1,3,X08,20418,46,1
1,4,X13,20486,59,0
1,5,X07,20517,47,1
1,4,X12,20642,52,0
1,5,X08,20657,59,1
1,8,X18,20700,58,0
1,0,X05,20783,49,0
1,1,X16,20812,53,1
1,5,X09,20894,45,1
1,1,X17,20980,43,1
1,5,X10,21024,45,1
1,6,X11,21133,58,0
1,11,X02,21155,53,1
1,2,X04,21242,44,0
1,10,X16,21268,56,0
1,6,X09,21478,58,0
1,3,X20,21657,50,1
1,8,X09,21684,58,0
1,0,X02,21792,59,1
1,8,X08,21815,58,0
1,0,X03,21929,58,1
1,8,X07,21960,58,0
1,6,X04,22018,59,0
1,2,X01,22055,41,1
1,10,X08,22115,43,0
1,6,X03,22152,59,0
1,13,X08,22190,51,1
1,0,X05,22192,44,1
1,10,X07,22245,56,0
1,6,X02,22310,57,0
1,11,X13,22380,58,1
1,10,X06,22414,56,0
1,0,X09,22626,45,1
1,2,X06,22646,57,1
1,12,X05,22866,52,0
1,1,X11,22877,57,0
1,3,X13,22929,43,0
1,12,X04,23017,59,0
1,1,X10,23033,45,0
1,6,X04,23065,53,1
1,13,X16,23133,59,1
1,12,X03,23151,59,0
1,2,X11,23182,56,1
1,6,X05,23184,55,1
1,12,X02,23297,41,0
1,9,X20,23319,59,0
1,6,X06,23336,59,1
1,2,X12,23349,55,1
1,6,X07,23453,53,1
1,9,X19,23461,59,0
1,0,X17,23543,57,1
1,14,X02,23589,45,0
1,9,X18,23609,58,0
1,0,X18,23682,58,1
